                x            Retst            utau*        thetatau*              <r>             <mu>              <u>              {u}              <p>              <T>              {T}             <rr>           {u"u"}           {v"v"}           {w"w"}           {u"w"}             <pp>           {T"T"}              pw"
   0.88323335E-01   0.38791187E+03   0.52862522E-01   0.19007284E+00   0.10322580E+01   0.14067051E-03   0.82418268E+00   0.81918882E+00   0.19573433E+00   0.23943446E+01   0.23891823E+01   0.34080412E-02   0.21652106E-02   0.46080741E-02   0.15732736E-01  -0.23616665E-02   0.51687005E-04   0.15300571E-01   0.12833375E-03
   0.90351051E-01   0.38725661E+03   0.52902507E-01   0.19021661E+00   0.10306982E+01   0.14080203E-03   0.82736904E+00   0.82253826E+00   0.19569731E+00   0.23973058E+01   0.23923454E+01   0.32928941E-02   0.22041427E-02   0.46239437E-02   0.15474842E-01  -0.23667394E-02   0.51663282E-04   0.14851412E-01   0.12891052E-03
   0.92405352E-01   0.38662287E+03   0.52941224E-01   0.19035582E+00   0.10291912E+01   0.14092969E-03   0.83048347E+00   0.82581037E+00   0.19566188E+00   0.24001810E+01   0.23954147E+01   0.31829213E-02   0.22419950E-02   0.46383560E-02   0.15222507E-01  -0.23712450E-02   0.51625286E-04   0.14417031E-01   0.12939494E-03
   0.94486528E-01   0.38600863E+03   0.52978855E-01   0.19049113E+00   0.10277296E+01   0.14105368E-03   0.83353007E+00   0.82900927E+00   0.19562709E+00   0.24029746E+01   0.23983948E+01   0.30779394E-02   0.22787557E-02   0.46513170E-02   0.14975846E-01  -0.23752169E-02   0.51571693E-04   0.13996954E-01   0.12976692E-03
   0.96594866E-01   0.38541380E+03   0.53015323E-01   0.19062225E+00   0.10263162E+01   0.14117420E-03   0.83651274E+00   0.83213906E+00   0.19559390E+00   0.24056909E+01   0.24012903E+01   0.29776168E-02   0.23144090E-02   0.46628301E-02   0.14734933E-01  -0.23786872E-02   0.51504274E-04   0.13590708E-01   0.13004339E-03
   0.98730656E-01   0.38483656E+03   0.53050796E-01   0.19074980E+00   0.10249441E+01   0.14129142E-03   0.83943513E+00   0.83520341E+00   0.19556139E+00   0.24083337E+01   0.24041052E+01   0.28818101E-02   0.23489447E-02   0.46729202E-02   0.14499877E-01  -0.23816929E-02   0.51421790E-04   0.13197912E-01   0.13020671E-03
   0.10089419E+00   0.38427694E+03   0.53085194E-01   0.19087348E+00   0.10236163E+01   0.14140549E-03   0.84230065E+00   0.83820592E+00   0.19553048E+00   0.24109065E+01   0.24068433E+01   0.27902364E-02   0.23823464E-02   0.46816186E-02   0.14270764E-01  -0.23842699E-02   0.51325890E-04   0.12818188E-01   0.13027475E-03
   0.10308576E+00   0.38373331E+03   0.53118673E-01   0.19099386E+00   0.10223264E+01   0.14151657E-03   0.84511247E+00   0.84114979E+00   0.19550029E+00   0.24134125E+01   0.24095080E+01   0.27027575E-02   0.24146035E-02   0.46889787E-02   0.14047676E-01  -0.23864538E-02   0.51215345E-04   0.12451157E-01   0.13023357E-03
   0.10530566E+00   0.38320579E+03   0.53151152E-01   0.19111064E+00   0.10210774E+01   0.14162479E-03   0.84787356E+00   0.84403824E+00   0.19547169E+00   0.24158547E+01   0.24121026E+01   0.26190859E-02   0.24456998E-02   0.46950559E-02   0.13830590E-01  -0.23882699E-02   0.51091749E-04   0.12096329E-01   0.13010332E-03
   0.10755419E+00   0.38269285E+03   0.53182782E-01   0.19122437E+00   0.10198632E+01   0.14173027E-03   0.85058679E+00   0.84687425E+00   0.19544385E+00   0.24182360E+01   0.24146302E+01   0.25390544E-02   0.24756272E-02   0.46999194E-02   0.13619381E-01  -0.23897347E-02   0.50954036E-04   0.11753150E-01   0.12987337E-03
   0.10983163E+00   0.38219464E+03   0.53213482E-01   0.19133476E+00   0.10186867E+01   0.14183315E-03   0.85325500E+00   0.84966097E+00   0.19541760E+00   0.24205593E+01   0.24170942E+01   0.24623812E-02   0.25043722E-02   0.47036332E-02   0.13413778E-01  -0.23908486E-02   0.50803965E-04   0.11421013E-01   0.12956405E-03
   0.11213829E+00   0.38170967E+03   0.53243400E-01   0.19144233E+00   0.10175422E+01   0.14193355E-03   0.85588107E+00   0.85240143E+00   0.19539213E+00   0.24228274E+01   0.24194975E+01   0.23889122E-02   0.25319307E-02   0.47062726E-02   0.13213449E-01  -0.23916064E-02   0.50640524E-04   0.11099363E-01   0.12916565E-03
